sat-epsilon,original-prediction,second-best-prediction
0.5546663591700399,"[8 3 5 7 2]","[3 0 9 6 5]"
0.5853367929630726,"[3 2 4 9 8]","[0 3 3 3 3]"
1.522016030759545,"[1 6 9 4 2]","[4 9 6 8 7]"
0.3558690603885887,"[9 7 9 1 1]","[2 2 3 4 3]"
0.5642523522513272,"[7 8 5 6 4]","[2 3 9 9 8]"
0.35445398810823003,"[8 8 1 4 8]","[3 3 9 3 5]"
1.6179883727721327,"[9 3 3 4 5]","[2 0 4 3 9]"
0.5599758945280182,"[2 5 6 3 6]","[7 9 1 9 3]"
0.6949934652629534,"[3 9 6 1 1]","[9 2 0 3 4]"
0.7296435174042681,"[8 0 7 4 7]","[3 4 3 8 2]"
0.5798411536386633,"[3 3 0 6 1]","[9 9 3 9 4]"
0.5569095923316754,"[2 4 9 0 1]","[9 3 5 3 4]"
1.3779278773671044,"[9 9 2 7 6]","[3 2 9 2 0]"
1.616855064481819,"[3 1 9 7 1]","[9 4 3 2 4]"
0.5755750766714292,"[6 3 3 1 0]","[1 9 2 4 9]"
0.7109659645405775,"[0 6 4 8 9]","[4 0 3 3 3]"
0.5899206230623977,"[1 3 3 6 5]","[3 0 9 3 9]"
1.4629344773826074,"[1 9 2 3 3]","[4 2 9 0 2]"
0.8785341730324815,"[4 1 6 6 5]","[5 4 0 1 8]"
0.7258448918762835,"[4 5 3 2 0]","[5 8 9 3 2]"
0.5636072594304523,"[2 1 4 0 8]","[0 4 3 5 3]"
0.5500545950032542,"[1 7 3 0 5]","[4 2 9 5 9]"
0.5659915357127226,"[3 5 1 2 1]","[9 9 4 5 3]"
0.5787356266647351,"[8 6 9 5 3]","[3 9 2 9 2]"
1.610030580388891,"[4 3 7 9 4]","[3 9 6 3 3]"
0.5841420214515727,"[3 0 3 8 3]","[2 9 9 3 9]"
0.3412811897157431,"[3 8 3 2 1]","[9 4 9 9 4]"
0.3780008002960942,"[8 4 9 8 9]","[3 3 3 3 6]"
0.3589493485603668,"[1 8 8 0 2]","[9 3 5 9 7]"
1.6216327761638198,"[3 3 0 1 5]","[2 0 3 4 9]"
0.36272051568175145,"[3 6 6 3 1]","[2 9 9 0 4]"
0.7126552194927249,"[5 5 4 1 3]","[9 2 3 4 0]"
0.6973384464017038,"[8 1 7 9 3]","[3 4 6 2 9]"
1.7167162179493691,"[3 4 9 8 3]","[9 8 3 3 2]"
0.5751818245960578,"[6 5 3 2 3]","[1 9 4 9 2]"
0.6990349485566865,"[6 8 9 8 5]","[3 3 5 3 8]"
0.5695859663512106,"[9 0 2 3 8]","[6 2 5 9 5]"
0.736049436081577,"[3 6 4 3 2]","[0 3 3 2 5]"
1.400778861670798,"[3 8 1 5 9]","[0 3 9 9 5]"
0.5582094756979374,"[0 2 7 9 4]","[2 5 6 2 3]"
0.595943772783588,"[0 0 3 3 9]","[4 3 2 4 3]"
