sat-epsilon,original-prediction,second-best-prediction
1.7783656907093435,"[5 9 5 7 5 0 8 3 4 8 2 3 3 7 6 9 2 7 0 5 4 1 3 2 4]","[9 3 8 2 9 3 3 9 3 3 9 9 9 2 1 5 5 3 9 2 5 4 4 9 8]"
1.871226955968805,"[4 1 3 8 3 2 9 1 8 1 6 0 4 6 3 2 6 8 8 7 5 1 5 5 0]","[8 9 0 3 2 5 3 4 3 3 9 2 8 0 2 9 9 3 3 6 9 4 9 2 3]"
1.8998836553653515,"[6 4 5 5 4 9 8 3 7 9 3 2 2 1 4 0 1 8 3 0 3 2 0 2 3]","[9 3 9 9 3 3 3 9 2 2 2 7 5 4 3 3 4 3 9 4 9 3 2 0 9]"
1.9642777066103718,"[4 3 2 3 9 9 7 2 5 3 1 5 7 9 3 4 5 9 7 6 5 8 3 3 1]","[3 9 9 4 5 3 2 5 2 9 4 9 2 2 2 3 8 2 3 9 9 3 4 9 4]"
1.8793915765833304,"[2 1 6 1 9 9 9 1 7 1 3 1 4 3 8 4 5 7 8 2 2 5 0 0 9]","[3 3 0 4 2 5 3 4 6 4 9 9 3 9 3 5 9 2 5 9 7 2 5 3 3]"
1.8602069198144093,"[8 9 8 5 9 5 3 1 9 7 1 2 6 3 9 3 3 6 5 4 2 7 8 8 3]","[3 6 4 9 3 9 9 4 2 9 4 9 9 9 3 2 4 9 9 3 5 6 3 3 0]"
1.8969516949256986,"[7 3 3 7 6 1 3 1 9 5 3 4 3 8 2 5 1 4 5 0 1 3 1 2 7]","[9 9 2 2 9 4 9 3 3 9 2 3 0 3 9 8 4 8 9 2 4 0 3 3 6]"
1.8973682670449858,"[5 2 7 1 7 7 6 2 2 1 8 3 4 6 8 7 8 3 1 3 6 9 3 4 0]","[2 7 6 4 3 9 0 9 3 9 3 2 3 9 3 2 3 0 4 4 9 2 2 3 3]"
1.8669564306381106,"[1 9 2 7 0 5 4 5 0 5 2 7 9 4 9 9 8 7 1 2 0 4 2 4 3]","[4 3 3 2 9 9 3 8 3 2 9 2 5 5 5 3 3 3 4 9 2 3 9 8 9]"
1.883699110190963,"[8 3 9 0 8 4 8 7 3 3 8 5 0 9 2 3 5 9 0 2 1 5 9 3 6]","[3 0 3 3 3 5 3 9 4 0 3 9 5 2 3 9 2 2 4 9 4 9 3 2 9]"
1.911530289898274,"[6 1 8 4 3 0 0 5 4 5 3 8 9 1 6 4 3 9 3 0 2 3 8 2 8]","[9 4 4 8 4 2 4 9 5 9 9 3 3 4 1 3 4 3 0 9 3 2 3 9 3]"
1.851930148200535,"[9 0 9 1 0 2 3 6 8 7 6 8 9 6 8 9 3 3 5 9 1 7 9 9 5]","[6 3 2 9 9 3 4 1 3 2 0 3 3 9 3 3 9 0 9 3 3 2 2 2 9]"
1.9910829751456873,"[2 9 9 5 1 9 5 3 1 8 0 9 3 5 8 9 7 3 0 4 8 2 3 0 3]","[5 3 2 9 3 3 9 2 4 3 2 2 9 8 3 3 2 0 3 5 3 3 9 2 9]"
1.9536704602659656,"[3 2 7 9 0 2 6 3 7 9 9 9 9 6 0 0 0 9 3 7 9 2 5 3 0]","[9 5 3 3 3 3 9 2 2 2 6 5 2 3 3 4 2 3 9 2 3 9 8 0 5]"
1.9239924904609378,"[4 1 2 5 9 3 8 3 9 6 9 5 3 8 1 8 2 6 0 3 2 9 0 1 3]","[3 4 9 9 3 2 3 0 2 3 5 2 4 3 4 3 5 0 4 9 9 6 2 3 0]"
1.8178557744370356,"[5 9 3 8 4 6 4 5 0 9 4 1 5 9 3 1 9 3 5 9 9 3 9 1 3]","[9 3 2 3 3 9 8 9 3 3 8 3 9 2 9 9 3 4 9 3 2 2 2 4 4]"
